Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Bathtub features (product.metafields.shopify.bathtub-features),Blade material (product.metafields.shopify.blade-material),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Connecting thread (product.metafields.shopify.connecting-thread),Door closer design (product.metafields.shopify.door-closer-design),Drain location (product.metafields.shopify.drain-location),Durability features (product.metafields.shopify.durability-features),Flush system (product.metafields.shopify.flush-system),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Handle material (product.metafields.shopify.handle-material),Hardware finish (product.metafields.shopify.hardware-finish),Hardware material (product.metafields.shopify.hardware-material),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light temperature (product.metafields.shopify.light-temperature),Lubricant dispenser type (product.metafields.shopify.lubricant-dispenser-type),Masonry product form (product.metafields.shopify.masonry-product-form),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Power source (product.metafields.shopify.power-source),Recommended use (product.metafields.shopify.recommended-use),Security level (product.metafields.shopify.security-level),Shape (product.metafields.shopify.shape),Style (product.metafields.shopify.style),Suitable for door type (product.metafields.shopify.suitable-for-door-type),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Toilet shape (product.metafields.shopify.toilet-shape),Wall patching application (product.metafields.shopify.wall-patching-application),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dynaflex-230-elastomeric-sealant-300ml-white,DYNAFLEX 230 ELASTOMERIC SEALANT 300ML WHITE,"<p>Features : • Interior/exterior use • Silicone tough with superior flexibility &amp; crack proof performance • Paint ready in 2 hours • 100% waterproof &amp; weatherproof seal • Lifetime warranty • Seals joints up to 2 in wide • Easy water clean-up • Low odor&gt;&gt; Silicone Tough latex sealant that offers outstanding exterior performance against the elements. Developed for flexibility and crack proof performance; this sealant endures expansion and contraction without cracking or losing its seal.""</p>
<p>Brand Name : Dap</p>",FaucetWorld,Hardware > Building Consumables > Protective Coatings & Sealants,,,true,Title,Default Title,,,,,,,,,0.0,shopify,16,deny,manual,6.45,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/274082-1-B.jpg?v=1728012528,1,,false,,,503744,,,,,,,,,,,,,,,leak-proofing; weatherproofing,white,,,,weather-resistant,,,,,,,,,,,,,,,,,,,,indoors; outdoors,,,,,,,,kg,,,active
pl-premium-construction-adhesive-3x-stronger-295ml,PL PREMIUM CONSTRUCTION ADHESIVE 3X STRONGER 295ML,"<ul class=""unstyled"">
<li class=""information-attribute"">
<span class=""attribute-title"">Features :</span><span> </span><span class=""attribute-value"">• LePage PL Premium is a one component, polyurethane based, moisture-curing adhesive that provides superior adhesion to most common construction materials • VOC compliant and contains no chlorinated solvents or water • May be used inside or outside and will last as long as the surfaces it joins together • Bonding strength of PL Premium is 3 times stronger than ordinary solvent based construction adhesives, so offering twice the coverage of conventional adhesives, therefore much less adhesive is required to complete projects • PL Premium is also waterproof, non-shrinking, paintable and even cures in cold temperatures • PL Premium bonds to most common construction materials such as wood, plywood, OSB, MDF, treated wood, hardwood flooring, concrete, stone, granite, marble, slate, masonry, brick, foam insulation of all sorts including EPS (expanded polystyrene foam), XPS (extruded polystyrene foam), and polysio (urethane) foam, carpets, metal, stainless steel, galvanized metal, lead, cement-based products, fiber cement panels, ceramic, fiberglass, drywall, rigid and cellular vinyl/PVC trim and molding and polyash trim• Ideal for subfloor installations.</span>
</li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">Lepage</span>
</li>
</ul>",FaucetWorld,Hardware > Building Consumables > Hardware Glue & Adhesives,,,true,Title,Default Title,,,,,,,,,0.0,shopify,11,deny,manual,9.80,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/85000240-1-B.jpg?v=1728012305,1,,false,,,503742,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,wood; cement,indoors; outdoors,,,,,,,,kg,,,active
pl-premium-construction-adhesive-3x-stronger-825ml,PL PREMIUM CONSTRUCTION ADHESIVE 3X STRONGER 825ML,"<ul class=""unstyled"">
<li class=""information-attribute"">
<span class=""attribute-title"">Features :</span><span> </span><span class=""attribute-value"">• LePage PL Premium is a one component, polyurethane based, moisture-curing adhesive that provides superior adhesion to most common construction materials • VOC compliant and contains no chlorinated solvents or water • May be used inside or outside and will last as long as the surfaces it joins together • Bonding strength of PL Premium is 3 times stronger than ordinary solvent based construction adhesives, so offering twice the coverage of conventional adhesives, therefore much less adhesive is required to complete projects • PL Premium is also waterproof, non-shrinking, paintable and even cures in cold temperatures • PL Premium bonds to most common construction materials such as wood, plywood, OSB, MDF, treated wood, hardwood flooring, concrete, stone, granite, marble, slate, masonry, brick, foam insulation of all sorts including EPS (expanded polystyrene foam), XPS (extruded polystyrene foam), and polysio (urethane) foam, carpets, metal, stainless steel, galvanized metal, lead, cement-based products, fiber cement panels, ceramic, fiberglass, drywall, rigid and cellular vinyl/PVC trim and molding and polyash trim• Ideal for subfloor installations.</span>
</li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">Lepage</span>
</li>
</ul>",FaucetWorld,Hardware > Building Consumables > Hardware Glue & Adhesives,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,21.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/85000241-1.jpg?v=1728012159,1,,false,,,503742,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,wood; cement,indoors; outdoors,,,,,,,,kg,,,active
10-rainfall-shower-heads,"10"" Rainfall Shower Heads","<div class=""kzv0b81yc_6112"" data-hb-id=""Box"">
<h4 class=""kzv0b81bu_6112 kzv0b81yc_6112 _1yimfeh6_6112 undefined _1yimfeh9_6112"" data-hb-id=""Heading"">Not Included: Shower Arm</h4>
</div>
<div class=""kzv0b81yc_6112"" data-hb-id=""Box"">
<div class=""ProductOverviewInformation-description"">
<div class=""RomanceCopy"">
<div class=""RomanceCopy-text"">Soft silicone nozzles prevent the accumulation of scale, resistant to oxidation and corrosion. Our shower head provides entire coverage of your body for a pleasant and relaxing shower experience, giving you the extra time to reward yourself at the end of your day. Standard 1/2'' threads, easy to install on wall.  You can adjust and fix it to any angle you like with a swivel ball joint, and enjoy a shower experience like a superior luxury hotel.<span>Air energy technology provides a consistent power rain shower even at low water pressures, like a full and dynamic massage of the skin.304 stainless steel rain material , lead free.</span>
</div>
</div>
</div>
</div>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Shower Parts > Shower Heads,,,true,Color,Chrome,,,,,,,,,0.0,shopify,8,deny,manual,40.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/20240801-095922.jpg?v=1722521222,1,,false,,,581,,,,,,,,,,,,1,,,,silver; black; gold,,,,,,,,,stainless-steel-2,,,,,,,,,,,square,,,,,,,,wall-mounted-square-shower-arms,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/Rain-Fixed_Shower_Head_1.8_GPM_GPM-1.jpg?v=1722521222,kg,,,active
wall-mounted-square-shower-arms,Wall Mounted Square Shower Arms,"<p>Wall Mounted Square Shower Arms, 304<span> stainless steel construction,</span>for you to enjoy rainfall shower, compatible with square or round shower heads. US/Canada standard NPT 1/2 tapered thread to the wall, G 1/2 inch straight thread to shower head, fit for most swivel ball joint female connection showerheads.</p>
<p> </p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Shower Parts > Shower Arms & Connectors > Shower Arms,,,true,Color,Chrome,,,,,,,,,0.0,shopify,9,deny,manual,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/20240801-094758.jpg?v=1722520544,1,,false,,,504638,,,,,,,,,,,,,,,,,1-2-inch-npt-3,,,,,,,,304-stainless-steel,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/Chrome-600mm_24_Inch_Extra-long_Square_Shower_Arm_With_Flange-2.jpg?v=1722520545,kg,,,active
m6484-split-pipe-flange-in-c-or-3-8in-i-p-pl,M6484 SPLIT PIPE FLANGE ½IN C OR 3 / 8IN I.P. PL.,"<ul class=""unstyled"">
<li class=""information-attribute""><span class=""attribute-value"">Chrome plated plastic for flexibility </span></li>
<li class=""information-attribute""><span class=""attribute-value""> Fits 1/2 inch Copper pipe or 3/8 inch iron pipe </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Will not rust or corrode </span></li>
<li class=""information-attribute""><span class=""attribute-value""> Split mechanism snaps over existing pipes for easy installation on walls </span></li>
<li class=""information-attribute""><span class=""attribute-value""> 1/2 inch C or 3/8 inch IP &gt;&gt; Chrome plated plastic for flexibility. Fits 1/2 inch Copper pipe or 3/8 inch iron pipe. Will not rust or corrode. Split mechanism snaps over existing pipes for easy installation on walls. 1/2 inch C or 3/8 inch I.P.""</span></li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">Moen</span>
</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Shower Parts,,,true,Title,Default Title,,,,,,,,,0.0,shopify,60,deny,manual,2.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84092145-1-B.jpg?v=1720747473,1,,false,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,chrome-plated,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
modern-smart-toilet-black-2024-design,Modern Smart Toilet Black,<p><span>In Store Pick Up Only</span></p>,FaucetWorld,,,,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,899.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_19bdc7d5-e129-4dbd-b60c-e9c2fe19e5a4.jpg?v=1720662698,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
abs-pipe-ipex-cellular-1-in-x-12ft-black,ABS PIPE Ipex (CELLULAR) 1½IN X 12FT BLACK,"<ul class=""unstyled"">
<li class=""information-attribute""><span class=""attribute-value"">Suitable for plumbing fixture drain; waste; and vent installations </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Cuts easily with plastic pipe cutters or saws</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Lightweight foam-core ABS construction</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Easy solvent-weld connections </span></li>
<li class=""information-attribute""><span class=""attribute-value"">ASTM F628""</span></li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">Ipex</span>
</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Pipes > Supply Pipes,,,true,Title,Default Title,,,,,,,,,0.0,shopify,26,deny,manual,17.66,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84010575-1-B.jpg?v=1720637319,1,,false,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
comp-x-ballcock-flexible-toilet-connector-1-2-pex-x-3-4-mht,Comp x Ballcock Flexible Toilet Connector 1/2″ PEX x 3/4″ MHT,"<ul>
<li><strong>Washing Machine Outlet Box – Dual Drain with Valves</strong></li>
<li>Hot &amp; cold, quarter turn brass valves</li>
<li>Face plate and mounting brackets included</li>
<li>HIPS – High Impact Polystyrene</li>
<li>Meets<span> </span><strong>cUPC</strong><span> </span>requirements</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,28.88,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/DN-Group-Enterprise-Washing-Mashine-Outlet-Box-PEX.jpg?v=1720148860,1,,false,,,,,,,,,,,,,,,,,,,white,,,,,,,,,plastic; brass,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pex-x-fpt-brass-adapter-1-2-pex-x-1-2-fpt,PEX x FPT Brass Adapter 1/2″ PEX x 1/2″ FPT,<p><span>1/2″ PEX x 1/2″ FPT</span></p>,FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports,,,true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,2.22,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/DN-Group-Enterprise-PEX-x-FPT-Lead-Free-Brass-Adapter-1.jpg?v=1720148568,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
abs-cement-with-brush-946ml-yellow,ABS CEMENT 946ML YELLOW,<p>ABS CEMENT WITH BRUSH 946ML YELLOW</p>,FaucetWorld,Hardware > Building Consumables > Chemicals > Concrete & Masonry Cleaners,,,true,Title,Default Title,,,,,,,,,0.0,shopify,9,deny,manual,14.60,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84010065-1-B.jpg?v=1720147383,1,,false,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,outdoors,,,,,,,,kg,,,active
access-panel-plastic-no-frame-8in-x-8in-white,ACCESS PANEL PLASTIC NO FRAME 8IN X 8IN WHITE,<h1>ACCESS PANEL PLASTIC NO FRAME 8IN X 8IN WHITE</h1>,FaucetWorld,Hardware > Power & Electrical Supplies > Wall Plates & Covers,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,18.24,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84056708-1-B.jpg?v=1720147061,1,,false,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
sheathing-tape-60mm-x-55m-red-construction-grade,SHEATHING TAPE 60MM X 55M RED CONSTRUCTION GRADE,<h1>SHEATHING TAPE 60MM X 55M RED CONSTRUCTION GRADE</h1>,FaucetWorld,Hardware > Building Consumables > Hardware Tape,,,true,Title,Default Title,,,,,,,,,0.0,shopify,18,deny,manual,10.87,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/220525-1-B.jpg?v=1720146841,1,,false,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,indoors,,,,,,,,kg,,,active
driver-bit-ph-1-2in,DRIVER BIT PH #1 -2IN,<h1>DRIVER BIT PH #1 -2IN</h1>,FaucetWorld,Hardware > Tool Accessories > Drill & Screwdriver Accessories > Drill & Screwdriver Bits,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/710824-1-B.jpg?v=1720146707,1,,false,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
13pc-driver-bits-with-magnetic-holder-set,13PC DRIVER BITS WITH MAGNETIC HOLDER SET,"<ul class=""unstyled"">
<li class=""information-attribute"">
<span class=""attribute-title"">Features :</span><span> </span><span class=""attribute-value"">• Contains: (1)Adaptor, (1) Magnetic bit holder, (3) Square: #1, #2, #3, (3) Phillips: #1, #2, #3, (3) Slot: 4mm, 5.5mm, 7mm, (2) Torx: T15, T20 &gt;&gt;The Tooltech FirmGrip driver bits &amp; magnetic holder 13 piece set.</span>
</li>
</ul>",FaucetWorld,Hardware > Tool Accessories > Drill & Screwdriver Accessories > Drill & Screwdriver Bits,,,true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,9.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/710803-1-B.jpg?v=1720146617,1,,false,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
power-bit-rb-2-x-1in,POWER BIT RB #2 X 1IN,<h1>POWER BIT RB #2 X 1IN</h1>,FaucetWorld,Hardware > Tool Accessories > Drill & Screwdriver Accessories > Drill & Screwdriver Bits,,,true,Title,Default Title,,,,,,,,,0.0,shopify,15,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/170100-1-B.jpg?v=1720146500,1,,false,,,,,,,,,,,,,,,,,,,gray,,,,,,,,,steel,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
8pc-diamond-wet-dry-polishing-pads-with-adapter,8PC DIAMOND WET / DRY POLISHING PADS WITH ADAPTER,"<p><span>• Use for polishing natural stone, marble, and granite </span></p>
<p><span>• Fits most grinders 4in-5in grinders • Flexible pad holder allows for fast switching between pads with velcro backing </span></p>
<p><span>• Helps achieve superior shine </span></p>
<p><span>• Use wet </span></p>
<p><span>• 8pc Polishing Pad and Adapter set Includes: (7) wet pads (50, 100, 200, 400, 800, 1500, 3000 Grit), (1) adapter &gt;&gt; Diamond polishing pads from Toolway are the best choice for all your stone polishing needs. Can be used on, porcelain, marble, ceramic, and granite. The flexible pad holder with Velcro Backing allows for fast switching between pads.</span></p>",FaucetWorld,Hardware > Tool Accessories > Grinder Accessories > Grinding Wheels & Points,,,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,53.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/120832-1-B.jpg?v=1720146426,1,,false,,,,,,,,,,,,,,,,,,,multicolor; beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
flex-connector-ss-3-8in-comp-x-3-8in-mip-72in-dishwasher,FLEX CONNECTOR SS 3 / 8IN COMP X 3 / 8IN MIP 72IN DISHWASHER,"<p class=""product-details-upccode"">UPC Code: 020861802902</p>
<div class=""product-details-desc"">Flex Connector SS 3/8in Comp x 3/8in MIP 72in Dishwasher</div>",FaucetWorld,Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Dishwasher Parts & Accessories,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,10.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/180290-1-B.jpg?v=1720146127,1,,false,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
duct-tape-48mm-x-10m-red,DUCT TAPE 48MM X 10M RED,<h1>DUCT TAPE 48MM X 10M RED</h1>,FaucetWorld,Hardware > Building Consumables > Hardware Tape,,,true,Title,Default Title,,,,,,,,,0.0,shopify,12,deny,manual,3.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/178702-1-B.jpg?v=1720146012,1,,false,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
100pk-twist-on-wire-connector-33-m-yellow,100PK TWIST ON WIRE CONNECTOR #33 (M) YELLOW,"<ul class=""unstyled"">
<li class=""information-attribute""><span class=""attribute-value"">Each jar contains 100 pieces </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Feature a tactile grip design for easy twist and termination of wires </span></li>
<li class=""information-attribute""><span class=""attribute-value"">The connector shell is lined with a current carrying thread to ensure a sound and secure positive connection between adjoining wires </span></li>
<li class=""information-attribute""><span class=""attribute-value"">The rugged outer shell is thermoplastic and flame-retardant; this design means it will withstand the harshest of environments </span></li>
<li class=""information-attribute""><span class=""attribute-value"">UltraContact Wire Connectors are CSA-listed as they have passed extensive tests that align with Canadian electrical standards</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Specifications: yellow in colour; size medium; size number 33; 100 pieces per jar. &gt;&gt; UltraContact Wire Connectors are perfect for all your termination needs. These twist-on wire connectors feature a tactile grip design for the easy twist and termination of wires; even when wearing gloves. Creating terminations will now be swifter than ever. The connector shell is lined with a current carrying thread to ensure a sound and secure positive connection between adjoining wires. The rugged outer shell is thermoplastic and flame-retardant allowing it to withstand the harshest of environments; ultimately protecting your electrical infrastructure. UltraContact Wire Connectors are CSA-listed and have passed extensive tests that align with Canadian electrical standards. Specifications: yellow in colour; size medium; size number 33; 100 pieces per jar.""</span></li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">LightWay</span>
</li>
</ul>",FaucetWorld,Hardware > Power & Electrical Supplies > Wire Terminals & Connectors,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/140067-1-B.jpg?v=1720145852,1,,false,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
paint-pro-painters-tape-36mm-x-55m-green,PAINT PRO PAINTERS TAPE 36MM X 55M GREEN,<h1>PAINT PRO PAINTERS TAPE 36MM X 55M GREEN</h1>,FaucetWorld,Hardware > Tool Accessories > Paint Tool Accessories,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,7.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/230936-1-B.jpg?v=1720145690,1,,false,,,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
paint-pro-painters-tape-24mm-x-55m-green,PAINT PRO PAINTERS TAPE 24MM X 55M GREEN,<h1>PAINT PRO PAINTERS TAPE 24MM X 55M GREEN</h1>,FaucetWorld,Hardware > Tool Accessories > Paint Tool Accessories,,,true,Title,Default Title,,,,,,,,,0.0,shopify,9,deny,manual,5.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/230924-1-B.jpg?v=1720145612,1,,false,,,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
gorilla-wood-glue-18oz-532ml,GORILLA WOOD GLUE 18OZ / 532ML,<h1>GORILLA WOOD GLUE 18OZ / 532ML</h1>,FaucetWorld,Hardware > Building Consumables > Hardware Glue & Adhesives,,,true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,12.71,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/562052-1-B.jpg?v=1720145521,1,,false,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,wood,indoors,,,,,,,,kg,,,active
floor-register-plastic-3-x-10in-white,FLOOR REGISTER PLASTIC 3 X 10IN WHITE,"<p class=""product-details-upccode"">UPC Code: 020861107007</p>
<div class=""product-details-desc"">Floor Register Plastic 3 x 10in White</div>",FaucetWorld,"Hardware > Heating, Ventilation & Air Conditioning > Vents & Flues",,,true,Title,Default Title,,,,,,,,,0.0,shopify,9,deny,manual,3.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/110700-1-B.jpg?v=1720145303,1,,false,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
floor-register-plastic-3-x-10in-brown,FLOOR REGISTER PLASTIC 3 X 10IN BROWN,"<p class=""product-details-upccode"">UPC Code: 020861107014</p>
<div class=""product-details-desc"">Floor Register Plastic 3 x 10in Brown</div>",FaucetWorld,"Hardware > Heating, Ventilation & Air Conditioning > Vents & Flues",,,true,Title,Default Title,,,,,,,,,0.0,shopify,8,deny,manual,3.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/110701-1-B.jpg?v=1720145074,1,,false,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
saw-blade-carbide-tipped-7-in-24t-thin-kerf,SAW BLADE CARBIDE TIPPED 7-¼IN 24T THIN KERF,"<p><span> </span><span class=""attribute-value"">• Carbide saw blade 7-¼inx 24T </span></p>
<p><span class=""attribute-value""> • 5/8in Arbor</span></p>",FaucetWorld,Hardware > Tool Accessories > Tool Blades > Saw Blades,,,true,Title,Default Title,,,,,,,,,0.0,shopify,11,deny,manual,11.10,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/120465-1-B.jpg?v=1720144507,1,,false,,,,,,,,,,,,,,,,,carbide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
abs-p-trap-1-in-less-c-o-with-union-black,ABS P-TRAP 1½IN LESS C / O WITH UNION BLACK,"<p><span>•Connections can be single step ABS solvent cemented</span></p>
<p><span>•Will not rust; pit; or degrade when exposed to moisture</span></p>
<p><span>•Extremely resilient and durable</span></p>
<p><span> •Quick and easy installation without special equipment; even in confined spaces</span></p>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Pipe Connectors,,,true,Title,Default Title,,,,,,,,,0.0,shopify,19,deny,manual,4.45,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84060240-1-B.jpg?v=1720136206,1,,false,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
abs-p-trap-1-in-less-c-o-less-union-black,ABS P-TRAP 1½IN LESS C / O LESS UNION BLACK,"<p><span>•Connections can be single step ABS solvent cemented </span></p>
<p><span>•Will not rust; pit; or degrade when exposed to moisture </span></p>
<p><span>•Extremely resilient and durable </span></p>
<p><span>•Quick and easy installation without special equipment; even in confined spaces</span></p>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Pipe Connectors,,,true,Title,Default Title,,,,,,,,,0.0,shopify,18,deny,manual,3.35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84060232-1-B.jpg?v=1720136092,1,,false,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,plastic,,,,,,,,,,,,,,,,,kg,,,active
pipe-joint-compound,PIPE JOINT COMPOUND,"<p><span>• Non-hardening grey paste seals and lubricates threaded joints • For use on water; steam or air lines • Non-separating and non-toxic material • Not for use on plastic threads &gt;&gt; Non-hardening grey paste seals and lubricates threaded joints. For use on water; steam or air lines. Non-separating and non-toxic material. Not for use on plastic threads.""</span></p>",FaucetWorld,Hardware > Building Consumables > Lubricants,,,true,Title,Default Title,,,,,,,,,0.0,shopify,18,deny,manual,3.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/84048005-1-B.jpg?v=1720135873,1,,false,,,,,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,tube,,,,,,,,,,,,,,,,,,,kg,,,active
